ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Childrens,Total_Spent,Total_Purchases,Family_Size,Age,Customer_For_Months
5524,1957,Graduation,Single,58138,04/09/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0,1617,25,1,59,159
2174,1954,Graduation,Single,46344,08/03/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2,27,6,3,62,141
4141,1965,Graduation,Couple,71613,21/08/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0,776,21,2,51,148
6182,1984,Graduation,Couple,26646,10/02/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1,53,8,3,32,142
5324,1981,PhD,Couple,58293,19/01/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,422,19,3,35,143
7446,1967,Master,Couple,62513,09/09/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1,716,22,3,49,147
965,1971,Graduation,Single,55635,13/11/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1,590,21,2,45,157
6177,1985,PhD,Couple,33454,08/05/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1,169,10,3,31,151
4855,1974,PhD,Couple,30351,06/06/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,46,6,3,42,150
5899,1950,PhD,Couple,5648,13/03/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2,49,2,4,66,141
1994,1983,Graduation,Couple,42308,15/11/2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,19,4,3,33,145
387,1976,Highschool,Couple,7500,13/11/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0,61,6,2,40,157
2125,1959,Graduation,Single,63033,15/11/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,1102,16,1,57,145
8180,1952,Master,Single,59354,15/11/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2,310,15,3,64,145
2569,1987,Graduation,Couple,17323,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0,46,5,2,29,158
2114,1946,PhD,Single,82800,24/11/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,0,1315,26,1,70,157
9736,1980,Graduation,Couple,41850,24/12/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2,96,9,4,36,156
4939,1946,Graduation,Couple,37760,31/08/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0,317,13,2,70,160
6565,1949,Master,Couple,76995,28/03/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,1782,26,3,67,153
2278,1985,2n Cycle,Single,33812,03/11/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,1,133,8,2,31,157
9360,1982,Graduation,Couple,37040,08/08/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0,316,12,2,34,160
5376,1979,Graduation,Couple,2447,06/01/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1,1730,43,3,37,155
1993,1949,PhD,Couple,58607,23/12/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,972,17,3,67,156
4047,1954,PhD,Couple,65324,11/01/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,544,20,3,62,143
1409,1951,Graduation,Couple,40689,18/03/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1,444,20,3,65,153
7892,1969,Graduation,Single,18589,02/01/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,75,8,1,47,155
2404,1976,Graduation,Couple,53359,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2,257,14,4,40,151
5255,1986,Graduation,Single,31159,20/02/2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,1,637,27,2,30,154
9422,1989,Graduation,Couple,38360,31/05/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,1,131,9,3,27,150
1966,1965,PhD,Couple,84618,22/11/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,0,1672,26,2,51,145
6864,1989,Master,Single,10979,22/05/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,30,8,1,27,139
3033,1963,Master,Couple,38620,11/05/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,318,11,2,53,151
5710,1970,Graduation,Couple,40548,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,120,9,3,46,158
7373,1952,PhD,Single,46610,29/10/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2,302,17,3,64,158
8755,1946,Master,Couple,68657,20/02/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,0,1196,18,2,70,154
10738,1951,Master,Single,49389,29/08/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2,65,6,3,65,147
4339,1970,PhD,Couple,67353,31/12/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1,913,28,3,46,143
10755,1976,2n Cycle,Couple,23718,02/09/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,1,81,9,3,40,147
8595,1973,Graduation,Single,42429,11/02/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,1,67,7,2,43,142
2968,1943,PhD,Single,48948,01/02/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,0,902,24,1,73,154
8601,1980,Graduation,Couple,80011,29/04/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1,1395,21,3,36,152
