ID,Year_Birth,Education,Marital_Status,Income,Customer_For,Last_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Childrens,Spent,Family_Size,Age,Frequency,Monetary,TotalKids,Campaign_Accept_Rate,Cluster
5524,1957,Graduate,Single,58138,04/09/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0,1617,1,68,25,1617,0,0.0,3
2174,1954,Graduate,Single,46344,08/03/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2,27,3,71,6,27,2,0.0,4
4141,1965,Graduate,Couple,71613,21/08/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0,776,2,60,21,776,0,0.0,2
6182,1984,Graduate,Couple,26646,10/02/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1,53,3,41,8,53,1,0.0,5
5324,1981,Postgrad,Couple,58293,19/01/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,422,3,44,19,422,1,0.0,3
7446,1967,Postgrad,Couple,62513,09/09/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1,716,3,58,22,716,1,0.0,3
965,1971,Graduate,Single,55635,13/11/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1,590,2,54,21,590,1,0.0,3
6177,1985,Postgrad,Couple,33454,08/05/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1,169,3,40,10,169,1,0.0,5
4855,1974,Postgrad,Couple,30351,06/06/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,46,3,51,6,46,1,0.0,5
5899,1950,Postgrad,Couple,5648,13/03/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2,49,4,75,2,49,2,0.2,4
