ID,Age,Income,Total_Spent,Total_Purchases,Family_Size,Childrens,Cluster
5524,59,58138,1617,25,1,0,3
2174,62,46344,27,6,3,2,2
4141,51,71613,776,21,2,0,0
6182,32,26646,53,8,3,1,2
5324,35,58293,422,19,3,1,3
7446,49,62513,716,22,3,1,0
965,45,55635,590,21,2,1,0
6177,31,33454,169,10,3,1,2
4855,42,30351,46,6,3,1,2
5899,66,5648,49,2,4,2,1
1994,33,42308,19,4,3,1,2
387,40,7500,61,6,2,0,1
2125,57,63033,1102,16,1,0,3
8180,64,59354,310,15,3,2,1
2569,29,17323,46,5,2,0,2
2114,70,82800,1315,26,1,0,0
9736,36,41850,96,9,4,2,1
4939,70,37760,317,13,2,0,2
6565,67,76995,1782,26,3,1,3
2278,31,33812,133,8,2,1,1
9360,34,37040,316,12,2,0,2
5376,37,2447,1730,43,3,1,0
1993,67,58607,972,17,3,1,3
4047,62,65324,544,20,3,1,0
1409,65,40689,444,20,3,1,3
7892,47,18589,75,8,1,0,1
2404,40,53359,257,14,4,2,2
5255,30,31159,637,27,2,1,0
9422,27,38360,131,9,3,1,2
1966,51,84618,1672,26,2,0,3
6864,27,10979,30,8,1,0,2
3033,53,38620,318,11,2,0,1
5710,46,40548,120,9,3,1,2
7373,64,46610,302,17,3,2,2
8755,70,68657,1196,18,2,0,0
10738,65,49389,65,6,3,2,1
4339,46,67353,913,28,3,1,0
10755,40,23718,81,9,3,1,1
8595,43,42429,67,7,2,1,1
2968,73,48948,902,24,1,0,3
8601,36,80011,1395,21,3,1,0
503,31,20559,53,7,3,1,1
8430,59,21994,22,4,3,1,2
7281,57,53411,186,9,1,0,1
2139,41,7500,31,8,3,1,2
1371,40,79941,984,16,1,0,3
9909,20,7500,122,10,2,0,2
7286,48,41728,55,5,3,1,1
7244,65,53472,124,10,4,3,1
6566,62,72550,1319,28,4,2,0
8614,59,65486,507,17,2,1,0
4114,52,79143,1693,29,2,0,0
1331,39,35790,72,7,2,1,1
2225,39,82582,1617,21,1,0,3
9381,38,66373,606,23,4,2,3
6260,61,82384,1957,27,2,0,3
10383,50,70287,1093,21,1,0,0
7437,28,27938,29,6,2,1,2
8557,34,45618,46,7,2,1,1
8375,48,55954,518,19,3,1,3
6853,34,75777,1438,21,1,0,0
3076,41,66653,612,22,4,2,0
1012,64,61823,884,24,2,1,0
6518,65,67680,606,19,2,1,0
4137,68,70666,1076,16,2,0,0
8082,45,25721,34,5,3,1,1
1386,49,32474,11,4,4,2,2
9369,37,88194,1274,32,2,1,0
4477,58,69096,653,18,3,1,0
1357,46,74854,1562,19,5,3,3
1402,62,66991,1253,21,2,0,0
10629,43,34210,109,9,3,1,2
6312,57,65031,863,30,3,1,0
8132,41,60631,661,24,4,2,3
1050,64,28332,65,8,2,0,1
5846,39,40246,13,4,2,1,1
1859,44,75251,1890,19,2,0,0
7503,40,75825,2209,22,1,0,0
10401,40,26326,18,4,2,0,2
1618,51,56046,692,21,2,0,0
3332,31,29760,165,12,2,1,1
2261,47,26304,16,4,3,1,2
5346,43,23559,79,9,3,1,1
535,29,81361,778,27,1,0,0
5268,56,29440,56,7,4,2,1
273,46,36138,151,13,4,2,2
4452,59,50388,372,17,2,1,2
8504,43,79593,1366,19,2,0,3
771,49,54178,194,10,3,1,1
8996,59,55337,603,29,5,3,0
9235,59,60037,18,4,3,2,2
5798,43,54859,985,15,2,0,3
11178,44,42394,32,5,2,1,1
2230,46,23626,43,10,3,1,1
7516,33,30096,45,6,3,1,2
7247,56,47916,606,22,2,1,3
11100,44,51813,63,7,3,2,2
4646,65,78497,978,25,2,0,0
3037,33,50150,410,16,2,0,2
1473,56,47823,72,7,2,1,2
1016,57,34554,55,7,2,1,2
4518,37,85693,1169,27,3,1,3
9370,71,65846,1120,16,2,0,3
8908,57,87195,1097,20,2,0,0
8373,37,24594,29,5,3,1,1
7533,52,49096,187,13,4,2,2
2683,47,52413,910,26,4,2,3
3629,38,38557,145,9,2,1,2
10991,56,89058,850,14,2,0,0
5077,37,77298,969,24,3,1,0
7431,25,68126,1820,17,1,0,0
3267,53,57288,608,20,3,1,0
999,25,86037,730,25,1,0,3
9215,36,43974,551,21,3,1,0
2286,54,50785,114,8,3,2,2
1592,46,90765,1724,15,2,0,0
367,38,36550,577,20,3,1,3
5234,49,30753,81,7,4,2,1
9862,47,21918,33,7,3,1,2
9805,63,56129,660,22,3,1,3
6205,49,32557,80,9,2,1,2
8442,31,19510,30,6,4,2,1
7386,40,30992,43,5,2,1,1
7215,33,101970,1135,27,1,0,3
1491,51,71488,559,16,2,0,1
11071,32,79607,1923,16,1,0,0
3381,63,54348,90,8,4,2,1
8268,55,60176,404,17,3,1,2
11051,60,77376,661,23,4,2,3
8026,64,62998,463,19,3,1,0
433,58,61331,632,23,3,2,0
9597,47,73448,725,19,2,0,0
1295,53,59759,725,19,3,1,3
5290,52,41551,279,16,4,2,1
1685,49,62981,1482,23,2,0,0
